﻿Kategoria;Kontroler/Moduł;"Opis Kontrolera";"Nazwa Testu (EN)";"Opis Testu (PL)";"Metoda PHPUnit";Status;"Typ Testu"
"Unit - Middleware";QuotaMiddlewareUnitTest;"Testy jednostkowe limitów";allows_request_when_under_quota;"Pozwala na żądania poniżej limitu";"Tests\Unit\Middleware\QuotaMiddlewareUnitTest::test_allows_request_when_under_quota";"✅ Przechodzi";PHPUnit
"Unit - Middleware";QuotaMiddlewareUnitTest;"Testy jednostkowe limitów";blocks_request_when_quota_exceeded;"Blokuje żądania po przekroczeniu limitu";"Tests\Unit\Middleware\QuotaMiddlewareUnitTest::test_blocks_request_when_quota_exceeded";"✅ Przechodzi";PHPUnit
"Unit - Middleware";RoleMiddlewareTest;"Sprawdzanie ról użytkowników";middleware_allows_user_with_correct_role;"Middleware pozwala użytkownikowi z poprawną rolą";"Tests\Unit\Middleware\RoleMiddlewareTest::test_middleware_allows_user_with_correct_role";"✅ Przechodzi";PHPUnit
"Unit - Middleware";RoleMiddlewareTest;"Sprawdzanie ról użytkowników";middleware_allows_user_with_one_of_multiple_roles;"Middleware pozwala użytkownikowi z jedną z wielu ról";"Tests\Unit\Middleware\RoleMiddlewareTest::test_middleware_allows_user_with_one_of_multiple_roles";"✅ Przechodzi";PHPUnit
"Unit - Middleware";RoleMiddlewareTest;"Sprawdzanie ról użytkowników";middleware_denies_user_without_required_role;"Middleware odmawia dostępu użytkownikowi bez wymaganej roli";"Tests\Unit\Middleware\RoleMiddlewareTest::test_middleware_denies_user_without_required_role";"✅ Przechodzi";PHPUnit
"Unit - Middleware";RoleMiddlewareTest;"Sprawdzanie ról użytkowników";middleware_denies_unauthenticated_user;"Middleware odmawia dostępu nieuwierzytelnionemu użytkownikowi";"Tests\Unit\Middleware\RoleMiddlewareTest::test_middleware_denies_unauthenticated_user";"✅ Przechodzi";PHPUnit
"Unit - Middleware";TenantMiddlewareTest;"Izolacja tenant (klientów)";middleware_sets_tenant_context_for_authenticated_user;"Middleware ustawia kontekst klienta dla uwierzytelnionego użytkownika";"Tests\Unit\Middleware\TenantMiddlewareTest::test_middleware_sets_tenant_context_for_authenticated_user";"✅ Przechodzi";PHPUnit
"Unit - Middleware";TenantMiddlewareTest;"Izolacja tenant (klientów)";middleware_denies_unauthenticated_requests;"Middleware odmawia nieuwierzytelnionych żądań";"Tests\Unit\Middleware\TenantMiddlewareTest::test_middleware_denies_unauthenticated_requests";"✅ Przechodzi";PHPUnit
"Unit - Middleware";TenantMiddlewareTest;"Izolacja tenant (klientów)";middleware_fails_for_inactive_tenant;"Middleware nie przepuszcza żądań dla nieaktywnego klienta";"Tests\Unit\Middleware\TenantMiddlewareTest::test_middleware_fails_for_inactive_tenant";"✅ Przechodzi";PHPUnit
"Unit - Models";RolePermissionTest;"Relacje ról i uprawnień";user_can_have_multiple_roles;"Użytkownik Może Mają Wielokrotny Role";"Tests\Unit\Models\RolePermissionTest::test_user_can_have_multiple_roles";"✅ Przechodzi";PHPUnit
"Unit - Models";RolePermissionTest;"Relacje ról i uprawnień";role_can_have_multiple_permissions;"Rola Może Mają Wielokrotny Uprawnienia";"Tests\Unit\Models\RolePermissionTest::test_role_can_have_multiple_permissions";"✅ Przechodzi";PHPUnit
"Unit - Models";RolePermissionTest;"Relacje ról i uprawnień";user_inherits_permissions_from_roles;"Użytkownik inherits Uprawnienia Z Role";"Tests\Unit\Models\RolePermissionTest::test_user_inherits_permissions_from_roles";"✅ Przechodzi";PHPUnit
"Unit - Models";RolePermissionTest;"Relacje ról i uprawnień";user_can_have_direct_permissions;"Użytkownik Może Mają direct Uprawnienia";"Tests\Unit\Models\RolePermissionTest::test_user_can_have_direct_permissions";"✅ Przechodzi";PHPUnit
"Unit - Models";TenantIsolationTest;"Izolacja danych między klientami";user_only_sees_data_from_their_tenant;"Użytkownik only sees data Z Ich tenant";"Tests\Unit\Models\TenantIsolationTest::test_user_only_sees_data_from_their_tenant";"✅ Przechodzi";PHPUnit
"Unit - Models";TenantIsolationTest;"Izolacja danych między klientami";worker_belongs_to_tenant;"Pracownik belongs Do tenant";"Tests\Unit\Models\TenantIsolationTest::test_worker_belongs_to_tenant";"✅ Przechodzi";PHPUnit
"Unit - Models";TenantIsolationTest;"Izolacja danych między klientami";tenant_relationships;"Klient (tenant) relationships";"Tests\Unit\Models\TenantIsolationTest::test_tenant_relationships";"✅ Przechodzi";PHPUnit
"API Core";AssetControllerTest;"Opis niedostępny";admin_can_list_assets;"Administrator może wyświetlić listę zasoby";"Tests\Feature\Api\AssetControllerTest::test_admin_can_list_assets";"✅ Przechodzi";PHPUnit
"API Core";AssetControllerTest;"Opis niedostępny";admin_can_create_asset;"Administrator może utworzyć asset";"Tests\Feature\Api\AssetControllerTest::test_admin_can_create_asset";"✅ Przechodzi";PHPUnit
"API Core";AssetControllerTest;"Opis niedostępny";admin_can_view_asset;"Administrator może wyświetlić asset";"Tests\Feature\Api\AssetControllerTest::test_admin_can_view_asset";"✅ Przechodzi";PHPUnit
"API Core";AssetControllerTest;"Opis niedostępny";admin_can_update_asset;"Administrator może zaktualizować asset";"Tests\Feature\Api\AssetControllerTest::test_admin_can_update_asset";"✅ Przechodzi";PHPUnit
"API Core";AssetControllerTest;"Opis niedostępny";admin_can_delete_unassigned_asset;"Administrator może usunąć unassigned_asset";"Tests\Feature\Api\AssetControllerTest::test_admin_can_delete_unassigned_asset";"✅ Przechodzi";PHPUnit
"API Core";AssetControllerTest;"Opis niedostępny";unauthenticated_user_cannot_access_assets;"Nieuwierzytelniony użytkownik nie może uzyskać dostępu do zasoby";"Tests\Feature\Api\AssetControllerTest::test_unauthenticated_user_cannot_access_assets";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";can_list_all_attachments;"Może Lista Wszystkie Załączniki";"Tests\Feature\Api\AttachmentControllerTest::test_can_list_all_attachments";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";can_filter_attachments_by_search;"Można filtrować załączniki według search";"Tests\Feature\Api\AttachmentControllerTest::test_can_filter_attachments_by_search";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";can_filter_attachments_by_mime_type;"Można filtrować załączniki według mime_typu";"Tests\Feature\Api\AttachmentControllerTest::test_can_filter_attachments_by_mime_type";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";admin_can_upload_attachment;"Administrator Może upload attachment";"Tests\Feature\Api\AttachmentControllerTest::test_admin_can_upload_attachment";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";admin_can_view_attachment;"Administrator może wyświetlić attachment";"Tests\Feature\Api\AttachmentControllerTest::test_admin_can_view_attachment";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";admin_can_update_attachment;"Administrator może zaktualizować attachment";"Tests\Feature\Api\AttachmentControllerTest::test_admin_can_update_attachment";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";admin_can_delete_attachment;"Administrator może usunąć attachment";"Tests\Feature\Api\AttachmentControllerTest::test_admin_can_delete_attachment";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";can_download_attachment;"Może download attachment";"Tests\Feature\Api\AttachmentControllerTest::test_can_download_attachment";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";can_get_image_preview;"Może get image preview";"Tests\Feature\Api\AttachmentControllerTest::test_can_get_image_preview";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";can_bulk_upload_attachments;"Może bulk upload Załączniki";"Tests\Feature\Api\AttachmentControllerTest::test_can_bulk_upload_attachments";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";can_get_storage_stats;"Może get storage Statystyki";"Tests\Feature\Api\AttachmentControllerTest::test_can_get_storage_stats";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";upload_validates_required_fields;"Upload Waliduje required fields";"Tests\Feature\Api\AttachmentControllerTest::test_upload_validates_required_fields";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";upload_validates_file_size;"Upload Waliduje file size";"Tests\Feature\Api\AttachmentControllerTest::test_upload_validates_file_size";"✅ Przechodzi";PHPUnit
"API Core";AttachmentControllerTest;"Opis niedostępny";cannot_access_other_tenant_attachments;"Nie może Dostęp do other Klient (tenant) Załączniki";"Tests\Feature\Api\AttachmentControllerTest::test_cannot_access_other_tenant_attachments";"✅ Przechodzi";PHPUnit
"API Core";AuthenticationTest;"Autentykacja użytkowników API";user_can_register;"Użytkownik Może register";"Tests\Feature\Api\AuthenticationTest::test_user_can_register";"✅ Przechodzi";PHPUnit
"API Core";AuthenticationTest;"Autentykacja użytkowników API";user_can_login;"Użytkownik Może login";"Tests\Feature\Api\AuthenticationTest::test_user_can_login";"✅ Przechodzi";PHPUnit
"API Core";AuthenticationTest;"Autentykacja użytkowników API";user_cannot_login_with_wrong_credentials;"Użytkownik nie może zalogować się z błędnymi danymi";"Tests\Feature\Api\AuthenticationTest::test_user_cannot_login_with_wrong_credentials";"✅ Przechodzi";PHPUnit
"API Core";AuthenticationTest;"Autentykacja użytkowników API";authenticated_user_can_logout;"Zalogowany użytkownik może się wylogować";"Tests\Feature\Api\AuthenticationTest::test_authenticated_user_can_logout";"✅ Przechodzi";PHPUnit
"API Core";AuthenticationTest;"Autentykacja użytkowników API";user_can_get_profile;"Użytkownik może pobrać swój profil";"Tests\Feature\Api\AuthenticationTest::test_user_can_get_profile";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";admin_can_access_dashboard_index;"Administrator może dostać się do głównego dashboardu";"Tests\Feature\Api\DashboardControllerTest::test_admin_can_access_dashboard_index";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";manager_can_access_dashboard_index;"Menedżer może dostać się do głównego dashboardu";"Tests\Feature\Api\DashboardControllerTest::test_manager_can_access_dashboard_index";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";worker_can_access_dashboard_index;"Pracownik może dostać się do głównego dashboardu";"Tests\Feature\Api\DashboardControllerTest::test_worker_can_access_dashboard_index";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";can_get_detailed_stats;"Można pobrać szczegółowe statystyki";"Tests\Feature\Api\DashboardControllerTest::test_can_get_detailed_stats";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";can_get_stats_with_custom_period;"Można pobrać statystyki z niestandardowym okresem";"Tests\Feature\Api\DashboardControllerTest::test_can_get_stats_with_custom_period";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";can_get_recent_activity;"Można pobrać ostatnią aktywność";"Tests\Feature\Api\DashboardControllerTest::test_can_get_recent_activity";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";can_get_recent_activity_with_custom_limit;"Można pobrać ostatnią aktywność z niestandardowym limitem";"Tests\Feature\Api\DashboardControllerTest::test_can_get_recent_activity_with_custom_limit";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";overview_stats_include_correct_counts;"Statystyki przeglądu zawierają poprawne liczby";"Tests\Feature\Api\DashboardControllerTest::test_overview_stats_include_correct_counts";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";worker_status_stats_group_by_status;"Statystyki statusu pracowników grupowane według statusu";"Tests\Feature\Api\DashboardControllerTest::test_worker_status_stats_group_by_status";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";asset_status_stats_group_by_status;"Statystyki statusu zasobów grupowane według statusu";"Tests\Feature\Api\DashboardControllerTest::test_asset_status_stats_group_by_status";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";asset_utilization_calculates_correctly;"Wykorzystanie zasobów obliczane poprawnie";"Tests\Feature\Api\DashboardControllerTest::test_asset_utilization_calculates_correctly";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";jobs_by_status_filters_by_period;"Zadania według statusu filtrowane przez okres";"Tests\Feature\Api\DashboardControllerTest::test_jobs_by_status_filters_by_period";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";unauthorized_user_cannot_access_dashboard;"Nieautoryzowany użytkownik nie może dostać się do dashboardu";"Tests\Feature\Api\DashboardControllerTest::test_unauthorized_user_cannot_access_dashboard";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";dashboard_data_is_tenant_isolated;"Dane dashboardu są izolowane według klienta";"Tests\Feature\Api\DashboardControllerTest::test_dashboard_data_is_tenant_isolated";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";recent_activity_shows_correct_user_names;"Ostatnia aktywność pokazuje poprawne nazwy użytkowników";"Tests\Feature\Api\DashboardControllerTest::test_recent_activity_shows_correct_user_names";"✅ Przechodzi";PHPUnit
"API Core";DashboardControllerTest;"Opis niedostępny";activity_descriptions_are_formatted_correctly;"Opisy aktywności są poprawnie sformatowane";"Tests\Feature\Api\DashboardControllerTest::test_activity_descriptions_are_formatted_correctly";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";admin_can_list_forms;"Administrator może wyświetlić listę formularze";"Tests\Feature\Api\FormControllerTest::test_admin_can_list_forms";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";admin_can_create_form;"Administrator może utworzyć form";"Tests\Feature\Api\FormControllerTest::test_admin_can_create_form";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";admin_can_view_form;"Administrator może wyświetlić form";"Tests\Feature\Api\FormControllerTest::test_admin_can_view_form";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";admin_can_update_form;"Administrator może zaktualizować form";"Tests\Feature\Api\FormControllerTest::test_admin_can_update_form";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";admin_can_delete_form;"Administrator może usunąć form";"Tests\Feature\Api\FormControllerTest::test_admin_can_delete_form";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";admin_can_get_form_responses;"Administrator może pobrać form_odpowiedzi";"Tests\Feature\Api\FormControllerTest::test_admin_can_get_form_responses";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";admin_can_duplicate_form;"Administrator może zduplikować form";"Tests\Feature\Api\FormControllerTest::test_admin_can_duplicate_form";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";admin_can_get_form_stats;"Administrator może pobrać form_statystyki";"Tests\Feature\Api\FormControllerTest::test_admin_can_get_form_stats";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";manager_can_access_form_management;"Menedżer może uzyskać dostęp do form_zarządzania";"Tests\Feature\Api\FormControllerTest::test_manager_can_access_form_management";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";worker_can_access_forms;"Pracownik może uzyskać dostęp do formularze";"Tests\Feature\Api\FormControllerTest::test_worker_can_access_forms";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";unauthenticated_user_cannot_access_forms;"Nieuwierzytelniony użytkownik nie może uzyskać dostępu do formularze";"Tests\Feature\Api\FormControllerTest::test_unauthenticated_user_cannot_access_forms";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";form_creation_validates_required_fields;"Tworzenie form waliduje wymagane pola";"Tests\Feature\Api\FormControllerTest::test_form_creation_validates_required_fields";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";form_creation_validates_schema_structure;"Form creation Waliduje schema structure";"Tests\Feature\Api\FormControllerTest::test_form_creation_validates_schema_structure";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";form_search_functionality;"Form Wyszukiwanie Funkcjonalność";"Tests\Feature\Api\FormControllerTest::test_form_search_functionality";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";form_filtering_by_type;"Form filtering Przez type";"Tests\Feature\Api\FormControllerTest::test_form_filtering_by_type";"✅ Przechodzi";PHPUnit
"API Core";FormControllerTest;"Opis niedostępny";form_tenant_isolation;"Form Klient (tenant) isolation";"Tests\Feature\Api\FormControllerTest::test_form_tenant_isolation";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";admin_can_list_form_responses;"Administrator może wyświetlić listę form_odpowiedzi";"Tests\Feature\Api\FormResponseControllerTest::test_admin_can_list_form_responses";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";admin_can_create_form_response;"Administrator może utworzyć form_response";"Tests\Feature\Api\FormResponseControllerTest::test_admin_can_create_form_response";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";admin_can_view_form_response;"Administrator może wyświetlić form_response";"Tests\Feature\Api\FormResponseControllerTest::test_admin_can_view_form_response";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";admin_can_update_draft_form_response;"Administrator może zaktualizować draft_form_response";"Tests\Feature\Api\FormResponseControllerTest::test_admin_can_update_draft_form_response";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";admin_cannot_update_submitted_form_response;"Administrator Nie może Aktualizacja submitted form Odpowiedź";"Tests\Feature\Api\FormResponseControllerTest::test_admin_cannot_update_submitted_form_response";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";admin_can_delete_draft_form_response;"Administrator może usunąć draft_form_response";"Tests\Feature\Api\FormResponseControllerTest::test_admin_can_delete_draft_form_response";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";admin_cannot_delete_submitted_form_response;"Administrator Nie może Usunięcie submitted form Odpowiedź";"Tests\Feature\Api\FormResponseControllerTest::test_admin_cannot_delete_submitted_form_response";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";admin_can_submit_form_response;"Administrator Może submit form Odpowiedź";"Tests\Feature\Api\FormResponseControllerTest::test_admin_can_submit_form_response";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";cannot_submit_already_submitted_form_response;"Nie może submit already submitted form Odpowiedź";"Tests\Feature\Api\FormResponseControllerTest::test_cannot_submit_already_submitted_form_response";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";submit_validates_required_fields;"Submit Waliduje required fields";"Tests\Feature\Api\FormResponseControllerTest::test_submit_validates_required_fields";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";manager_can_access_form_responses;"Menedżer może uzyskać dostęp do form_odpowiedzi";"Tests\Feature\Api\FormResponseControllerTest::test_manager_can_access_form_responses";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";worker_can_access_form_responses;"Pracownik może uzyskać dostęp do form_odpowiedzi";"Tests\Feature\Api\FormResponseControllerTest::test_worker_can_access_form_responses";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";unauthenticated_user_cannot_access_form_responses;"Nieuwierzytelniony użytkownik nie może uzyskać dostępu do form_odpowiedzi";"Tests\Feature\Api\FormResponseControllerTest::test_unauthenticated_user_cannot_access_form_responses";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";form_response_creation_validates_required_fields;"Tworzenie form_response waliduje wymagane pola";"Tests\Feature\Api\FormResponseControllerTest::test_form_response_creation_validates_required_fields";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";form_response_with_job;"Form Odpowiedź Z job";"Tests\Feature\Api\FormResponseControllerTest::test_form_response_with_job";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";form_response_search_functionality;"Form Odpowiedź Wyszukiwanie Funkcjonalność";"Tests\Feature\Api\FormResponseControllerTest::test_form_response_search_functionality";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";form_response_filtering_by_form;"Form Odpowiedź filtering Przez form";"Tests\Feature\Api\FormResponseControllerTest::test_form_response_filtering_by_form";"✅ Przechodzi";PHPUnit
"API Core";FormResponseControllerTest;"Opis niedostępny";form_response_filtering_by_submission_status;"Form Odpowiedź filtering Przez submission Status";"Tests\Feature\Api\FormResponseControllerTest::test_form_response_filtering_by_submission_status";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";can_list_all_job_assignments;"Może Lista Wszystkie job assignments";"Tests\Feature\Api\JobAssignmentControllerTest::test_can_list_all_job_assignments";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";can_filter_assignments_by_status;"Można filtrować assignments według statusu";"Tests\Feature\Api\JobAssignmentControllerTest::test_can_filter_assignments_by_status";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";can_filter_assignments_by_job;"Można filtrować assignments według job";"Tests\Feature\Api\JobAssignmentControllerTest::test_can_filter_assignments_by_job";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";can_filter_assignments_by_worker;"Można filtrować assignments według worker";"Tests\Feature\Api\JobAssignmentControllerTest::test_can_filter_assignments_by_worker";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";admin_can_create_job_assignment;"Administrator może utworzyć job_assignment";"Tests\Feature\Api\JobAssignmentControllerTest::test_admin_can_create_job_assignment";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";admin_can_view_job_assignment;"Administrator może wyświetlić job_assignment";"Tests\Feature\Api\JobAssignmentControllerTest::test_admin_can_view_job_assignment";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";admin_can_update_job_assignment;"Administrator może zaktualizować job_assignment";"Tests\Feature\Api\JobAssignmentControllerTest::test_admin_can_update_job_assignment";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";admin_can_delete_assignment_not_completed;"Administrator może usunąć assignment_not_completed";"Tests\Feature\Api\JobAssignmentControllerTest::test_admin_can_delete_assignment_not_completed";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";cannot_delete_completed_assignment;"Nie może Usunięcie completed assignment";"Tests\Feature\Api\JobAssignmentControllerTest::test_cannot_delete_completed_assignment";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";admin_can_start_assignment;"Administrator Może start assignment";"Tests\Feature\Api\JobAssignmentControllerTest::test_admin_can_start_assignment";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";admin_can_complete_assignment;"Administrator Może complete assignment";"Tests\Feature\Api\JobAssignmentControllerTest::test_admin_can_complete_assignment";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";admin_can_cancel_assignment;"Administrator Może cancel assignment";"Tests\Feature\Api\JobAssignmentControllerTest::test_admin_can_cancel_assignment";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";cannot_assign_worker_to_same_job_twice;"Nie może assign Pracownik Do Ten sam job twice";"Tests\Feature\Api\JobAssignmentControllerTest::test_cannot_assign_worker_to_same_job_twice";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";cannot_assign_inactive_worker;"Nie może assign inactive worker";"Tests\Feature\Api\JobAssignmentControllerTest::test_cannot_assign_inactive_worker";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";validates_status_transitions;"Waliduje Status transitions";"Tests\Feature\Api\JobAssignmentControllerTest::test_validates_status_transitions";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";can_get_assignments_by_worker;"Może get assignments Przez worker";"Tests\Feature\Api\JobAssignmentControllerTest::test_can_get_assignments_by_worker";"✅ Przechodzi";PHPUnit
